root - INFO - Program started at: 2022-12-03 16:19:29.743377
root - DEBUG - Set LED to True : [tankPressure = 82.1659438,             upstreamPressure = 0.0, downstreamPressure = 82.1659438]
root - DEBUG - Set LED to False : [tankPressure = 82.15745304999999,             upstreamPressure = 86.70077838, downstreamPressure = 82.15745304999999]
root - DEBUG - Set LED to True : [tankPressure = 82.03631834999999,             upstreamPressure = 86.70928248, downstreamPressure = 82.03631834999999]
root - DEBUG - Set LED to True : [tankPressure = 82.03631834999999,             upstreamPressure = 86.70928248, downstreamPressure = 82.03631834999999]
root - DEBUG - Set Inflation to True : [tankPressure = 82.0799042,             upstreamPressure = 122.2467825, downstreamPressure = 82.0799042]
root - DEBUG - Set Inflation to True : [tankPressure = 82.0799042,             upstreamPressure = 122.2467825, downstreamPressure = 82.0799042]
root - DEBUG - Set Inflation to False : [tankPressure = 63.94892095809999,             upstreamPressure = 124.65174198, downstreamPressure = 82.06235665]
root - DEBUG - Set Inflation to False : [tankPressure = 63.94892095809999,             upstreamPressure = 124.65174198, downstreamPressure = 82.06235665]
root - DEBUG - Set Inflation to True : [tankPressure = 82.07084739999999,             upstreamPressure = 124.65174198, downstreamPressure = 82.07084739999999]
root - DEBUG - Set Inflation to True : [tankPressure = 82.07084739999999,             upstreamPressure = 124.65174198, downstreamPressure = 82.07084739999999]
root - DEBUG - Set Inflation to False : [tankPressure = 63.952577721099985,             upstreamPressure = 124.64323788000002, downstreamPressure = 82.06235665]
root - DEBUG - Set Inflation to False : [tankPressure = 63.952577721099985,             upstreamPressure = 124.64323788000002, downstreamPressure = 82.06235665]
root - DEBUG - Set Inflation to True : [tankPressure = 82.07084739999999,             upstreamPressure = 124.64323788000002, downstreamPressure = 82.07084739999999]
root - DEBUG - Set Inflation to True : [tankPressure = 82.07084739999999,             upstreamPressure = 124.64323788000002, downstreamPressure = 82.07084739999999]
root - DEBUG - Set Inflation to False : [tankPressure = 63.96106273059999,             upstreamPressure = 124.65174198, downstreamPressure = 82.07084739999999]
root - DEBUG - Set Inflation to False : [tankPressure = 63.96106273059999,             upstreamPressure = 124.65174198, downstreamPressure = 82.07084739999999]
root - DEBUG - Set Inflation to True : [tankPressure = 82.0799042,             upstreamPressure = 124.64323788000002, downstreamPressure = 82.0799042]
root - DEBUG - Set Inflation to True : [tankPressure = 82.0799042,             upstreamPressure = 124.64323788000002, downstreamPressure = 82.0799042]
root - DEBUG - Set Inflation to False : [tankPressure = 63.964719493599986,             upstreamPressure = 124.64323788000002, downstreamPressure = 82.07084739999999]
root - DEBUG - Set Inflation to False : [tankPressure = 63.964719493599986,             upstreamPressure = 124.64323788000002, downstreamPressure = 82.07084739999999]
root - DEBUG - Set Inflation to True : [tankPressure = 82.07084739999999,             upstreamPressure = 124.64323788000002, downstreamPressure = 82.07084739999999]
root - DEBUG - Set Inflation to True : [tankPressure = 82.07084739999999,             upstreamPressure = 124.64323788000002, downstreamPressure = 82.07084739999999]
root - DEBUG - Set Inflation to False : [tankPressure = 63.97767071759999,             upstreamPressure = 124.64323788000002, downstreamPressure = 82.0799042]
root - DEBUG - Set Inflation to False : [tankPressure = 63.97767071759999,             upstreamPressure = 124.64323788000002, downstreamPressure = 82.0799042]
root - DEBUG - Set Inflation to True : [tankPressure = 82.07084739999999,             upstreamPressure = 124.65174198, downstreamPressure = 82.07084739999999]
root - DEBUG - Set Inflation to True : [tankPressure = 82.07084739999999,             upstreamPressure = 124.65174198, downstreamPressure = 82.07084739999999]
root - DEBUG - Set Inflation to False : [tankPressure = 63.96106273059999,             upstreamPressure = 124.65174198, downstreamPressure = 82.07084739999999]
root - DEBUG - Set Inflation to False : [tankPressure = 63.96106273059999,             upstreamPressure = 124.65174198, downstreamPressure = 82.07084739999999]
root - DEBUG - Set Inflation to True : [tankPressure = 82.07084739999999,             upstreamPressure = 124.64323788000002, downstreamPressure = 82.07084739999999]
root - DEBUG - Set Inflation to True : [tankPressure = 82.07084739999999,             upstreamPressure = 124.64323788000002, downstreamPressure = 82.07084739999999]
root - DEBUG - Set Inflation to False : [tankPressure = 63.964719493599986,             upstreamPressure = 124.64323788000002, downstreamPressure = 82.07084739999999]
root - DEBUG - Set Inflation to False : [tankPressure = 63.964719493599986,             upstreamPressure = 124.64323788000002, downstreamPressure = 82.07084739999999]
root - DEBUG - Set Inflation to True : [tankPressure = 82.07084739999999,             upstreamPressure = 124.64323788000002, downstreamPressure = 82.07084739999999]
root - DEBUG - Set Inflation to True : [tankPressure = 82.07084739999999,             upstreamPressure = 124.64323788000002, downstreamPressure = 82.07084739999999]
root - DEBUG - Set Inflation to False : [tankPressure = 63.96106273059999,             upstreamPressure = 124.65174198, downstreamPressure = 82.07084739999999]
root - DEBUG - Set Inflation to False : [tankPressure = 63.96106273059999,             upstreamPressure = 124.65174198, downstreamPressure = 82.07084739999999]
root - DEBUG - Set Inflation to True : [tankPressure = 82.06235665,             upstreamPressure = 117.55818869999999, downstreamPressure = 82.06235665]
root - DEBUG - Set Inflation to True : [tankPressure = 82.06235665,             upstreamPressure = 117.55818869999999, downstreamPressure = 82.06235665]
root - DEBUG - Set Inflation to False : [tankPressure = 68.32611370659998,             upstreamPressure = 114.44398728000002, downstreamPressure = 82.05386589999999]
root - DEBUG - Set Inflation to False : [tankPressure = 68.32611370659998,             upstreamPressure = 114.44398728000002, downstreamPressure = 82.05386589999999]
root - DEBUG - Set Inflation to True : [tankPressure = 82.06235665,             upstreamPressure = 123.86482926, downstreamPressure = 82.06235665]
root - DEBUG - Set Inflation to True : [tankPressure = 82.06235665,             upstreamPressure = 123.86482926, downstreamPressure = 82.06235665]
root - DEBUG - Set Inflation to False : [tankPressure = 63.952577721099985,             upstreamPressure = 124.64323788000002, downstreamPressure = 82.06235665]
root - DEBUG - Set Inflation to False : [tankPressure = 63.952577721099985,             upstreamPressure = 124.64323788000002, downstreamPressure = 82.06235665]
root - DEBUG - Set Inflation to True : [tankPressure = 82.07084739999999,             upstreamPressure = 124.65174198, downstreamPressure = 82.07084739999999]
root - DEBUG - Set Inflation to True : [tankPressure = 82.07084739999999,             upstreamPressure = 124.65174198, downstreamPressure = 82.07084739999999]
root - DEBUG - Set Inflation to False : [tankPressure = 63.964719493599986,             upstreamPressure = 124.64323788000002, downstreamPressure = 82.07084739999999]
root - DEBUG - Set Inflation to False : [tankPressure = 63.964719493599986,             upstreamPressure = 124.64323788000002, downstreamPressure = 82.07084739999999]
root - DEBUG - Set Inflation to True : [tankPressure = 82.05386589999999,             upstreamPressure = 124.65174198, downstreamPressure = 82.05386589999999]
root - DEBUG - Set Inflation to True : [tankPressure = 82.05386589999999,             upstreamPressure = 124.65174198, downstreamPressure = 82.05386589999999]
root - INFO - Program endded at: 2022-12-03 16:20:08.299988
